count,iteration,heap_used_mb,heap_max_mb,elapsed_ms
1000,1,28,128,116
2000,1,34,128,166
3000,1,40,128,213
4000,1,46,128,275
5000,1,51,128,307
6000,1,58,128,348
7000,1,63,128,380
8000,1,69,128,408
9000,1,75,128,453
10000,1,32,128,491
11000,1,37,128,517
12000,1,43,128,545
13000,1,48,128,569
14000,1,54,128,600
15000,1,60,128,625
16000,1,65,128,655
17000,1,71,128,683
18000,1,76,128,707
19000,1,82,128,732
20000,1,87,128,757
21000,1,93,128,784
22000,1,98,128,809
23000,1,30,128,844
24000,1,35,128,878
25000,1,41,128,904
26000,1,46,128,930
27000,1,52,128,954
28000,1,58,128,978
29000,1,63,128,1003
30000,1,69,128,1033
31000,1,74,128,1058
32000,1,80,128,1081
33000,1,85,128,1107
34000,1,91,128,1170
35000,1,96,128,1197
36000,1,28,128,1242
37000,1,34,128,1268
38000,1,39,128,1294
39000,1,45,128,1316
40000,1,50,128,1394
41000,1,56,128,1419
42000,1,61,128,1460
43000,1,66,128,1488
44000,1,72,128,1513
45000,1,77,128,1535
46000,1,83,128,1557
47000,1,88,128,1578
48000,1,93,128,1604
49000,1,99,128,1633
50000,1,30,128,1659
51000,1,36,128,1679
52000,1,41,128,1702
53000,1,47,128,1721
54000,1,52,128,1755
55000,1,58,128,1776
56000,1,63,128,1799
57000,1,69,128,1822
58000,1,74,128,1843
59000,1,80,128,1864
60000,1,85,128,1887
61000,1,90,128,1910
62000,1,96,128,1934
63000,1,28,128,1960
64000,1,34,128,1983
65000,1,39,128,2004
66000,1,44,128,2026
67000,1,50,128,2143
68000,1,55,128,2168
69000,1,61,128,2190
70000,1,66,128,2220
71000,1,71,128,2241
72000,1,77,128,2263
73000,1,82,128,2284
74000,1,88,128,2304
75000,1,93,128,2326
76000,1,98,128,2347
77000,1,30,128,2383
78000,1,35,128,2403
79000,1,41,128,2430
80000,1,46,128,2470
81000,1,52,128,2510
82000,1,57,128,2542
83000,1,62,128,2576
84000,1,68,128,2604
85000,1,73,128,2627
86000,1,79,128,2650
87000,1,84,128,2680
88000,1,90,128,2701
89000,1,95,128,2722
90000,1,28,128,2743
91000,1,33,128,2764
92000,1,39,128,2786
93000,1,44,128,2810
94000,1,50,128,2832
95000,1,55,128,2857
96000,1,60,128,2884
97000,1,66,128,2909
98000,1,71,128,2934
99000,1,77,128,2960
100000,1,82,128,2986
101000,1,88,128,3015
102000,1,93,128,3044
103000,1,99,128,3069
104000,1,30,128,3092
105000,1,35,128,3114
106000,1,41,128,3137
107000,1,46,128,3159
108000,1,52,128,3346
109000,1,57,128,3368
110000,1,63,128,3391
111000,1,68,128,3414
112000,1,74,128,3454
113000,1,79,128,3512
114000,1,85,128,3547
115000,1,90,128,3578
116000,1,96,128,3613
117000,1,28,128,3637
118000,1,34,128,3656
118122,1,35,128,3667
