count,iteration,heap_used_mb,heap_max_mb,elapsed_ms
1000,1,28,32,103
2000,1,28,32,188
3000,1,28,32,254
4000,1,29,32,326
5000,1,28,32,367
6000,1,30,32,401
7000,1,26,32,476
8000,1,26,32,530
9000,1,26,32,565
10000,1,27,32,599
11000,1,27,32,633
12000,1,27,32,667
13000,1,27,32,705
14000,1,28,32,738
15000,1,27,32,771
16000,1,27,32,807
17000,1,27,32,841
18000,1,28,32,871
19000,1,27,32,903
20000,1,27,32,940
21000,1,28,32,970
22000,1,27,32,1007
23000,1,26,32,1038
24000,1,26,32,1075
25000,1,28,32,1106
26000,1,27,32,1138
27000,1,28,32,1172
28000,1,27,32,1213
29000,1,27,32,1252
30000,1,27,32,1296
31000,1,27,32,1337
32000,1,28,32,1371
33000,1,28,32,1438
34000,1,27,32,1513
35000,1,28,32,1543
36000,1,27,32,1576
37000,1,27,32,1629
38000,1,28,32,1660
39000,1,27,32,1690
40000,1,28,32,1737
41000,1,26,32,1770
42000,1,27,32,1802
43000,1,27,32,1841
44000,1,26,32,1884
45000,1,26,32,1922
46000,1,28,32,1974
47000,1,27,32,2000
48000,1,27,32,2032
49000,1,28,32,2097
50000,1,27,32,2127
51000,1,27,32,2158
52000,1,28,32,2185
53000,1,26,32,2215
54000,1,28,32,2254
55000,1,27,32,2283
56000,1,28,32,2315
57000,1,27,32,2343
58000,1,27,32,2372
59000,1,27,32,2401
60000,1,28,32,2448
61000,1,27,32,2502
62000,1,26,32,2553
63000,1,26,32,2578
64000,1,27,32,2605
65000,1,27,32,2631
66000,1,27,32,2675
67000,1,28,32,2757
68000,1,28,32,2788
69000,1,29,32,2815
70000,1,27,32,2844
71000,1,27,32,2877
72000,1,28,32,2909
73000,1,28,32,2936
74000,1,27,32,2961
75000,1,28,32,2987
76000,1,27,32,3015
77000,1,27,32,3120
78000,1,28,32,3148
79000,1,27,32,3177
80000,1,26,32,3205
81000,1,27,32,3235
82000,1,28,32,3264
83000,1,28,32,3290
84000,1,28,32,3321
85000,1,27,32,3430
86000,1,27,32,3467
87000,1,28,32,3500
88000,1,27,32,3541
89000,1,27,32,3567
90000,1,28,32,3592
91000,1,27,32,3619
92000,1,28,32,3646
93000,1,27,32,3673
94000,1,27,32,3698
95000,1,27,32,3724
96000,1,27,32,3755
97000,1,28,32,3781
98000,1,28,32,3811
99000,1,27,32,3838
100000,1,27,32,3865
101000,1,27,32,3893
102000,1,28,32,3921
103000,1,28,32,3945
104000,1,27,32,3973
105000,1,27,32,3999
106000,1,27,32,4029
107000,1,28,32,4054
108000,1,27,32,4081
109000,1,28,32,4106
110000,1,26,32,4133
111000,1,26,32,4291
112000,1,28,32,4315
113000,1,27,32,4348
114000,1,27,32,4382
115000,1,27,32,4411
116000,1,27,32,4452
117000,1,28,32,4492
118000,1,25,32,4632
118122,1,26,32,4644
119122,2,27,32,4673
120122,2,27,32,4701
121122,2,27,32,4723
122122,2,27,32,4751
123122,2,27,32,4782
124122,2,28,32,4810
125122,2,28,32,4836
126122,2,28,32,4861
127122,2,27,32,4886
128122,2,27,32,4918
129122,2,27,32,4942
130122,2,27,32,4969
131122,2,27,32,4995
132122,2,27,32,5021
133122,2,28,32,5046
134122,2,27,32,5069
135122,2,27,32,5094
136122,2,25,32,5114
137122,2,27,32,5134
138122,2,27,32,5160
139122,2,26,32,5187
140122,2,27,32,5211
141122,2,28,32,5234
142122,2,28,32,5258
143122,2,27,32,5284
144122,2,28,32,5308
145122,2,27,32,5331
146122,2,27,32,5357
147122,2,27,32,5383
148122,2,26,32,5409
149122,2,28,32,5447
150122,2,27,32,5478
151122,2,27,32,5506
152122,2,28,32,5530
