count,iteration,heap_used_mb,heap_max_mb,elapsed_ms
1000,1,30,64,103
2000,1,36,64,146
3000,1,42,64,193
4000,1,48,64,241
5000,1,28,64,274
6000,1,34,64,319
7000,1,40,64,352
8000,1,46,64,380
9000,1,51,64,406
10000,1,30,64,437
11000,1,35,64,464
12000,1,41,64,490
13000,1,46,64,518
14000,1,52,64,560
15000,1,28,64,586
16000,1,34,64,614
17000,1,39,64,645
18000,1,45,64,669
19000,1,50,64,693
20000,1,56,64,720
21000,1,31,64,746
22000,1,36,64,770
23000,1,42,64,795
24000,1,48,64,824
25000,1,53,64,850
26000,1,28,64,877
27000,1,33,64,901
28000,1,39,64,924
29000,1,45,64,957
30000,1,50,64,983
31000,1,56,64,1008
32000,1,29,64,1032
33000,1,35,64,1055
34000,1,40,64,1106
35000,1,46,64,1130
36000,1,51,64,1156
37000,1,57,64,1206
38000,1,30,64,1231
39000,1,36,64,1256
40000,1,41,64,1279
41000,1,47,64,1320
42000,1,52,64,1345
43000,1,57,64,1372
44000,1,30,64,1402
45000,1,35,64,1425
46000,1,41,64,1471
47000,1,46,64,1493
48000,1,52,64,1518
49000,1,57,64,1555
50000,1,29,64,1595
51000,1,35,64,1626
52000,1,40,64,1650
53000,1,46,64,1672
54000,1,51,64,1698
55000,1,57,64,1744
56000,1,29,64,1775
57000,1,34,64,1800
58000,1,39,64,1835
59000,1,45,64,1865
60000,1,50,64,1890
61000,1,55,64,1912
62000,1,28,64,1935
63000,1,33,64,1959
64000,1,39,64,1980
65000,1,44,64,1999
66000,1,50,64,2021
67000,1,55,64,2044
68000,1,28,64,2067
69000,1,33,64,2087
70000,1,39,64,2111
71000,1,44,64,2132
72000,1,50,64,2153
73000,1,55,64,2175
74000,1,28,64,2197
75000,1,34,64,2217
76000,1,39,64,2237
77000,1,45,64,2349
78000,1,50,64,2372
79000,1,55,64,2393
80000,1,29,64,2415
81000,1,34,64,2440
82000,1,40,64,2543
83000,1,45,64,2567
84000,1,50,64,2588
85000,1,55,64,2610
86000,1,28,64,2636
87000,1,34,64,2662
88000,1,39,64,2682
89000,1,45,64,2702
90000,1,50,64,2723
91000,1,55,64,2748
92000,1,28,64,2771
93000,1,34,64,2794
94000,1,39,64,2818
95000,1,45,64,2839
96000,1,50,64,2876
97000,1,55,64,2898
98000,1,29,64,2922
99000,1,34,64,2943
100000,1,40,64,2963
101000,1,45,64,2983
102000,1,51,64,3005
103000,1,56,64,3025
104000,1,30,64,3045
105000,1,36,64,3068
106000,1,41,64,3092
107000,1,46,64,3114
108000,1,52,64,3264
109000,1,57,64,3286
110000,1,30,64,3310
111000,1,35,64,3332
112000,1,41,64,3356
113000,1,46,64,3517
114000,1,52,64,3555
115000,1,57,64,3606
116000,1,30,64,3637
117000,1,35,64,3672
118000,1,40,64,3696
118122,1,41,64,3706
