count,iteration,heap_used_mb,heap_max_mb,elapsed_ms
1000,1,30,64,113
2000,1,35,64,161
3000,1,41,64,221
4000,1,47,64,325
5000,1,53,64,361
6000,1,31,64,414
7000,1,37,64,453
8000,1,43,64,484
9000,1,49,64,517
10000,1,54,64,551
11000,1,31,64,592
12000,1,36,64,625
13000,1,42,64,657
14000,1,47,64,692
15000,1,53,64,724
16000,1,28,64,758
17000,1,34,64,796
18000,1,40,64,829
19000,1,45,64,860
20000,1,51,64,898
21000,1,27,64,942
22000,1,33,64,981
23000,1,38,64,1010
24000,1,44,64,1039
25000,1,49,64,1073
26000,1,55,64,1104
27000,1,30,64,1131
28000,1,35,64,1156
29000,1,41,64,1189
30000,1,46,64,1218
31000,1,52,64,1250
32000,1,28,64,1290
33000,1,33,64,1315
34000,1,39,64,1393
35000,1,44,64,1426
36000,1,50,64,1456
37000,1,55,64,1484
38000,1,30,64,1514
39000,1,35,64,1538
40000,1,41,64,1565
41000,1,46,64,1593
42000,1,52,64,1624
43000,1,57,64,1664
44000,1,31,64,1694
45000,1,36,64,1718
46000,1,41,64,1742
47000,1,47,64,1764
48000,1,52,64,1788
49000,1,27,64,1812
50000,1,33,64,1837
51000,1,38,64,1861
52000,1,44,64,1884
53000,1,49,64,1906
54000,1,55,64,1933
55000,1,29,64,1955
56000,1,34,64,1979
57000,1,40,64,2006
58000,1,45,64,2029
59000,1,51,64,2058
60000,1,56,64,2087
61000,1,30,64,2123
62000,1,35,64,2284
63000,1,41,64,2315
64000,1,46,64,2351
65000,1,51,64,2436
66000,1,57,64,2476
67000,1,30,64,2500
68000,1,36,64,2527
69000,1,41,64,2549
70000,1,47,64,2588
71000,1,52,64,2611
72000,1,57,64,2633
73000,1,30,64,2656
74000,1,35,64,2677
75000,1,41,64,2700
76000,1,46,64,2721
77000,1,51,64,2743
78000,1,57,64,2766
79000,1,29,64,2791
80000,1,35,64,2812
81000,1,40,64,2835
82000,1,45,64,2857
83000,1,51,64,2877
84000,1,56,64,2897
85000,1,29,64,2924
86000,1,35,64,2945
87000,1,40,64,2972
88000,1,45,64,2997
89000,1,51,64,3023
90000,1,56,64,3084
91000,1,30,64,3128
92000,1,35,64,3287
93000,1,40,64,3322
94000,1,46,64,3416
95000,1,51,64,3443
96000,1,56,64,3467
97000,1,29,64,3491
98000,1,34,64,3519
99000,1,40,64,3542
100000,1,45,64,3567
101000,1,51,64,3602
102000,1,56,64,3628
103000,1,29,64,3653
104000,1,34,64,3675
105000,1,40,64,3695
106000,1,45,64,3720
107000,1,51,64,3740
108000,1,56,64,3760
109000,1,29,64,3786
110000,1,35,64,3813
111000,1,40,64,3847
112000,1,46,64,3869
113000,1,51,64,3892
114000,1,57,64,3916
115000,1,30,64,3938
116000,1,35,64,3963
117000,1,40,64,3987
118000,1,46,64,4009
119000,1,51,64,4040
120000,1,57,64,4066
121000,1,29,64,4097
122000,1,35,64,4125
123000,1,40,64,4155
